"longitude","latitude","housingMedianAge","totalRooms","totalBedrooms","population","households","medianIncome","medianHouseValue"
-117.25,34.13,37,2498,472,1291,487,3,83400
-121.86,37.29,14,6160,1222,2472,1204,4.1444,178400
-121.26,37.94,43,1610,412,1409,365,1.7574,51700
-117.02,33.6,7,1972,352,964,317,3.244,337200
-117.97,33.85,45,818,147,546,152,5.1057,170700
-122.46,37.78,52,3088,727,1636,662,2.8553,360700
-121,39,4,170,23,93,27,10.9891,312500
-118.08,33.78,25,5321,967,1969,903,5.0102,340100
-118.1,33.91,40,513,100,399,99,4.875,167600
-121.78,37.23,18,1747,317,1055,285,5.898,229100
-118.07,33.79,34,2473,383,967,353,5.8283,362400
-122.61,37.99,40,7737,1488,3108,1349,4.4375,289600
-118.1,34.02,37,1022,232,653,238,3.0625,189400
-117.27,33.2,23,2145,379,1360,404,4.2054,150700
-121.85,37.26,16,1816,241,793,234,6.8194,291200
-118.1,33.97,20,1878,548,1461,516,2.9821,142500
-118.28,33.8,38,1471,329,1207,335,4,165500
-118.01,34.07,24,5684,1485,6626,1481,2.2559,166800
-122.29,37.89,52,1571,349,693,326,3.1375,229100
-117.68,35.61,9,4241,832,1929,742,3.5988,84500
-121.45,36.86,11,1613,335,1617,342,3.1375,146200
-122.33,41.86,19,3599,695,1572,601,2.234,58600
-122.17,37.77,31,2424,533,1360,452,1.871,90700
-121.8,39.64,25,2202,422,1109,403,2.8306,87500
-122.3,38.27,4,1051,263,455,248,3.6389,130200
-118.19,34.14,38,1826,300,793,297,5.2962,291500
-119.06,34.23,23,3471,510,2002,555,5.2742,257500
-117.07,32.75,37,2690,549,1219,524,2.3148,154200
-118.37,36.19,10,443,111,48,21,3.125,71300
-120.79,38.24,19,1003,235,538,190,2.9821,90400
-122.3,37.56,37,1962,367,1267,382,4.7344,271800
-122.46,37.75,52,1207,152,465,162,10.7569,500001
-118.28,34.09,49,3828,1197,2862,1009,2.4677,219200
-118.73,34.27,25,3409,493,1699,484,5.653,225800
-118.37,34.16,17,4150,1148,1808,1041,3.5051,232400
-117.94,34.03,35,1499,289,1112,268,3.83,149000
-117.77,33.7,15,1392,267,681,263,5.4248,187200
-118.39,34.06,43,1879,397,873,382,3.8158,500001
-119.23,36.39,39,1660,349,1061,306,1.4812,53500
-118.29,34.01,30,1385,518,1730,472,1.0539,142500
-121.92,37.72,4,7477,1576,2937,1506,5.1437,299400
-118.31,34.19,13,3801,1116,1986,1078,2.0875,222700
-116.54,33.8,22,6050,1387,1432,890,2.2216,183900
-117.97,34.1,26,1399,277,1285,276,4,160100
-121.24,38.7,13,3243,488,1585,480,5.7133,166800
-119.56,36.08,37,766,189,639,190,1.6607,42100
-118.63,34.21,31,3952,647,1762,588,5.5709,244800
-117.88,33.74,19,2261,642,3545,635,2.5224,148500
-121.31,38.67,27,1998,353,970,343,4.8224,115500
-117.87,34.14,30,2495,586,1139,559,2.9375,209200
-118.33,34.02,45,1667,399,928,375,1.8783,118200
-120.93,37.67,6,3491,657,2075,644,3.3844,138500
-122.04,37.35,28,1582,264,696,270,5.678,370100
-118.1,34.1,41,1379,315,1249,309,2.6553,183100
-122.01,36.98,27,2820,730,1511,745,2.589,242400
-117.21,33.95,5,8403,1240,3962,1150,5.2174,155500
-119.67,36.72,31,843,140,453,149,2.6875,153800
-117.14,33.94,5,4873,639,1947,568,6.3223,223200
-120.62,38.39,15,3750,691,1444,603,2.7399,134800
-117.1,32.71,29,3422,713,2775,644,1.7075,86900
-119.03,35.37,52,1503,367,554,277,1.6786,126600
-117.77,33.7,4,2446,622,1315,560,3.7147,137500
-122.08,37.64,23,1897,440,1109,418,3.142,179500
-118.15,33.91,25,2053,578,1721,507,2.3456,146100
-118.31,33.73,52,1665,280,656,282,5.249,351900
-117.29,34.11,35,2426,715,1920,586,1.5561,68000
-117.08,32.66,43,1004,236,839,235,2.81,103400
-122.05,39.6,34,2051,342,958,322,2.8466,95300
-121.22,37.82,13,4452,949,2740,937,3.1964,141500
-121.35,38.56,16,2629,491,1265,485,4.5066,140200
-122.08,37.7,32,2718,447,1156,410,5.2497,259300
-121.3,38.12,11,1792,252,767,263,7.6889,229300
-121.12,39.2,9,1431,254,681,221,3.045,170400
-121.92,38.02,16,1840,355,1288,338,4.2067,125000
-120.3,37.99,23,1908,383,984,374,2.517,153500
-118.36,33.81,34,2211,502,1113,488,4.7026,356800
-117.92,33.88,52,1270,276,609,211,3.75,232500
-117.66,34.05,36,2341,520,2138,523,2.3347,104000
-118.31,33.95,44,1558,333,1095,316,4.0043,133500
-118.31,33.82,35,3462,814,1902,700,3.402,279900
-119.05,36.07,21,2472,523,1238,504,1.7756,62900
-118.26,34.23,43,1428,325,836,302,4.5759,209200
-122.68,38.46,19,4976,711,1926,625,7.3003,381300
-120.99,37.68,30,1975,375,732,326,2.6932,94900
-118.02,34.08,28,2769,631,2452,581,2.6071,175900
-119.27,36.34,7,3433,626,1793,626,3.5296,83700
-120.14,36.04,27,2533,518,1371,461,2.9708,60900
-117.59,34.09,16,2401,465,1757,500,3.9755,120400
-118.1,34.06,36,1463,369,1492,366,3.25,179200
-118.01,33.77,32,1771,296,995,272,5.8362,217500
-119.58,36.69,42,1032,215,812,225,1.9766,58100
-117.07,32.68,18,1475,267,1149,268,5.0827,142200
-118.11,33.82,37,1987,347,1095,357,4.3203,232800
-122.28,37.81,52,386,164,346,155,0.8075,137500
-118.34,33.8,34,1730,427,1008,393,3.9408,327700
-121.32,38.03,25,2474,513,1947,524,2.5742,98400
-120.11,39.21,18,2245,392,421,162,4.5795,158300
-121.79,38.01,17,4032,814,1749,618,3.1728,146800
-122.46,37.75,52,1849,287,695,258,6.5372,394000
-121.7,37.93,19,2005,405,972,403,2.2216,156700
-121.69,36.52,15,4037,586,1596,557,8.0922,390100
-118.2,34.03,52,774,209,813,203,2.3472,135200
-118.15,34.11,52,2375,369,930,351,7.4111,469100
-124.1,40.88,35,2987,578,1581,585,2.0657,81100
-121.28,37.99,42,495,116,284,97,2.8854,55700
-121.66,36.69,6,10613,2485,7249,2375,3.7912,168900
-117.19,34.03,25,2513,340,900,320,6.4962,182400
-117.31,34.15,34,2037,385,1195,391,3.9231,96000
-118.61,34.38,2,5989,883,1787,613,6.6916,329500
-117.06,33.01,24,2618,485,726,443,3.5192,159100
-121.87,37.41,24,3308,548,1891,544,5.6683,248700
-119.17,34.17,32,1567,304,1482,308,3.5867,182100
-117.68,33.47,7,4458,731,1731,704,6.126,285600
-118.18,33.89,25,5896,1464,4149,1362,2.6742,131900
-122.66,38.2,39,2889,517,1351,489,4.3056,251300
-122.49,37.63,31,3109,621,1472,618,5.155,263900
-118.08,34.13,46,1238,147,377,145,8.4546,500001
-117.96,33.86,35,2146,430,1230,429,3.7813,184900
-119.02,36.09,15,2234,415,1254,420,3.0234,88600
-118.28,34.17,52,2332,433,1135,440,5.5658,331200
-120.53,39.79,18,1234,266,543,201,2.5156,71900
-121.43,38.48,12,4602,930,2299,860,3.0625,90500
-118.19,33.78,29,1170,369,1398,373,2.2543,156300
-122.13,37.73,33,1996,268,686,270,6.9096,341800
-117.86,33.79,42,1024,191,483,187,4.105,194500
-120.36,36.14,18,1206,274,622,217,1.8264,62000
-118.28,34.11,52,2036,348,775,332,5.4122,397500
-121.1,39,16,1106,195,505,187,5.0126,192300
-116.96,32.79,35,1081,266,691,259,2.6324,133700
-122.2,37.79,49,882,195,737,210,2.6667,122000
-117.64,35.61,10,2656,506,1349,501,4.25,83200
-122.24,38.25,33,213,36,91,33,4.9167,187500
-118.32,33.88,35,1818,339,828,319,4.3036,282100
-121.37,38.56,19,6308,1167,3012,1112,2.9464,113500
-117.99,33.75,30,1859,462,1314,418,3.0909,184400
-121.84,37.34,33,1019,191,938,215,4.0929,165000
-117.89,33.74,34,1759,353,2083,330,3.2292,160600
-123.76,41.03,24,2386,565,1058,414,2.0644,79800
-122.21,37.48,20,505,216,326,216,2.9286,237500
-119.34,36.21,30,749,214,537,199,0.8229,68400
-118.48,34.15,31,2536,429,990,424,5.4591,495500
-117.03,32.73,32,1750,333,997,335,3.4784,154400
-120.72,38.57,8,892,185,427,164,2.6833,118800
-118.4,34.24,35,2552,545,1850,503,4.775,179500
-118.18,34.09,40,2744,708,2747,674,2.6226,148800
-121.83,37.23,22,5507,841,2785,848,6.0889,245200
-122.31,38,26,3735,641,1708,633,4.621,191100
-116.77,33.08,13,1406,260,737,279,5.5842,239100
-121.94,36.99,11,4571,924,2004,847,4.2898,221700
-117.03,32.73,38,3174,606,1557,619,3.5861,123600
-121.92,37.28,27,3028,486,1284,498,4.5833,308800
-118.87,35.37,14,2458,433,1352,411,3.5441,87000
-117.8,33.55,38,1757,464,821,426,4.1304,433300
-118.13,33.76,46,2834,673,1175,670,4.7875,363800
-116.43,33.81,8,6710,1343,2069,781,3.5223,115100
-122.28,41.38,15,5266,1031,2147,885,2.8036,110100
-122.76,38.46,14,4794,767,2252,768,4.2061,213100
-121.78,36.92,19,1515,253,975,266,4.3906,241200
-118.38,34.16,42,2358,546,1065,523,3.1289,320600
-119.72,34.42,49,1610,370,961,351,2.6983,260100
-118.11,33.8,36,1837,319,810,305,4.3897,235000
-118.44,34.28,32,527,146,582,143,1.7708,138800
-121.9,36.93,22,7281,1233,1849,832,5.3276,335500
-118.27,33.82,39,1357,249,763,229,4.25,200300
-119.32,36.32,29,2409,436,1142,440,3.6895,87700
-121.94,37.26,43,2104,388,1137,403,4.9236,238000
-122.19,37.77,45,1852,393,1132,349,2.7159,101400
-120.76,38.76,21,3509,606,1576,564,2.6392,148500
-118.16,33.72,29,2743,708,1059,651,3.625,5e+05
-118.31,34.05,35,2007,571,1513,554,2.1162,229200
-121.55,38.55,10,6227,1164,2909,1077,4.106,115900
-121.19,38.66,26,1937,286,769,274,6.1185,179200
-122.41,37.73,42,2604,573,1703,507,3.4231,230200
-121.44,38.61,34,172,38,149,55,2.6442,55000
-119.11,35.38,37,2044,394,894,359,2.9453,82800
-119.77,36.78,40,1411,284,609,296,1.9375,67700
-121.04,37.3,6,2657,486,1409,392,3.3824,115500
-121.61,37.15,16,5498,729,2051,694,7.8601,416300
-121.83,37.28,33,1115,250,1168,261,3.9009,178600
-117.57,34.02,5,6933,1311,3845,1285,4.6727,158900
-119.34,35.59,33,3240,654,1809,616,2.3934,71900
-121.3,38.03,10,1409,248,782,222,4.0227,107700
-117.06,32.68,36,3815,796,2945,728,2.0959,125000
-124.06,40.88,12,2087,424,1603,438,2.5667,139500
-118.35,34.22,30,1260,222,638,229,4.1302,258300
-116.95,32.82,18,3038,592,1904,595,3.8024,144900
-122.22,37.48,47,2570,783,3107,724,2.8058,229500
-118.36,34.09,30,2353,728,1365,718,2.0702,283300
-118.3,33.87,31,1398,261,823,263,5.0641,234900
-118.44,35.13,34,1170,290,602,266,1.7917,80000
-117.11,32.72,25,1491,348,1183,316,1.9583,88600
-118.03,33.96,37,1745,365,1022,368,4.0536,171400
-122.46,37.7,42,876,216,713,203,3.84,235900
-117.11,32.75,18,1943,587,1329,522,1.7696,103100
-117.06,32.71,25,2681,596,1947,553,2.8964,104300
-119.2,34.25,18,3208,643,1973,614,3.8162,235000
-122.68,38.25,29,1315,240,650,228,3.8269,306000
-121.87,37.35,27,3500,1036,3019,955,2.9222,153700
-118.45,34.3,27,2676,652,2661,623,4.3047,152100
-117.82,33.68,4,1346,213,603,219,8.7974,360600
-122.2,37.96,9,6306,962,2581,911,6.7741,310700
-118.23,34.21,38,1399,390,859,386,3.4148,234800
-120.45,34.86,23,3415,778,1492,633,2.2791,114800
-122.42,37.74,52,1674,346,734,335,3.8864,281300
-120.41,34.88,4,3680,559,1678,569,5.0639,201700
-121.91,36.6,35,2605,410,1110,406,5.5519,329500
-118.06,34.06,28,2127,625,3160,620,2.5763,173900
-121.23,37.79,23,1985,424,1198,389,2.7734,116800
-117.94,34.07,25,1814,404,1187,363,3.3523,170800
-122.23,37.78,43,1420,472,1506,438,1.9338,112500
-121.44,38.51,27,7212,1606,4828,1549,2.214,82400
-121.5,38.58,20,4018,1220,1570,1122,2.5821,125000
-122.3,38.3,21,1108,269,524,274,2.7619,154600
-121.34,38.63,13,3033,540,1363,519,4.0036,161700
-117.11,32.75,34,2131,594,1373,562,2.113,102100
-117.94,34.08,35,2393,417,1336,418,4.87,187700
-118.19,33.77,31,1711,691,1092,568,1.0714,150000
-118.21,34.56,12,2472,408,1048,380,4.7097,262100
-122.04,37.35,20,2016,313,767,310,6.837,383000
-121.59,39.78,16,2754,570,1063,543,1.4048,86500
-117.18,32.77,16,2374,780,913,705,2.7386,87500
-122.19,37.76,41,921,207,522,159,1.2083,72500
-117.84,34.12,25,3465,566,1722,536,4.8304,228900
-117.23,33.2,29,3372,720,1770,693,3.5109,166000
-122.66,38.48,21,2066,393,919,395,3.267,176200
-118.38,33.82,35,3053,623,1311,589,5.1589,439200
-120.82,37.64,20,3375,630,1505,598,2.69,201300
-118.37,34.18,36,1608,373,1217,374,2.9728,190200
-122.14,37.73,52,2024,320,823,334,5,264700
-117.24,32.79,17,1149,266,403,228,4.1652,241700
-119.74,34.35,34,1664,292,705,257,5,329400
-122.69,38.44,40,1449,281,636,295,2.7222,161200
-116.2,33.63,23,1152,273,1077,235,2.5,96300
-117.93,33.73,19,4021,557,1872,545,6.7919,295600
-121.7,36.67,37,641,129,458,142,3.3456,252600
-120.09,39.92,19,2335,518,1028,383,1.7267,60700
-120.29,37.94,17,1459,297,753,271,3.05,144800
-117.73,34.08,28,5173,1069,3502,954,3.8438,130800
-117.25,33.06,6,9859,1448,4194,1401,6.439,296200
-114.94,34.55,20,350,95,119,58,1.625,50000
-121.62,39.75,20,1173,261,523,258,1.0625,92800
-121.99,37.39,25,3495,834,2484,797,4.8145,230700
-121.3,38.61,25,2707,464,1423,490,4.3235,116900
-121.95,37.33,36,1683,286,740,324,4.7604,294700
-118.33,35.64,15,2966,669,1007,465,1.5667,72500
-117.25,33.38,16,3536,765,2007,687,3,146700
-122,37.86,18,8953,1074,3011,993,10.7372,500001
-117.8,33.63,8,32,9,26,11,4.1944,270800
-117.93,33.85,33,2489,546,1857,444,2.9474,178400
-120.43,34.96,19,2350,631,1291,515,1.0349,130800
-122.22,37.88,20,95,13,31,15,2.4444,475000
-118.33,34.05,45,1707,519,1446,466,2.1736,171300
-122.14,38.01,50,1760,341,741,316,4.5,178300
-118.33,33.86,38,914,176,519,174,6.0335,255400
-122.41,37.71,28,5015,1240,3900,1029,1.2269,181900
-118.3,33.79,9,2782,884,1790,748,2.9154,203300
-117.24,33.95,11,6617,1118,3710,1087,4.7877,132600
-117.53,33.97,34,1293,215,774,217,3.8906,141000
-118.26,33.82,28,5091,1074,4753,1033,3.6477,117400
-117.09,32.68,20,2569,737,2341,705,2.0114,104900
-121.49,38.57,51,1492,385,736,365,1.7155,108800
-122.04,37.99,38,2675,541,1378,480,3.8897,139900
-118.12,33.83,45,1579,278,687,285,5.0424,225900
-119.94,38.96,20,1451,386,467,255,1.5536,212500
-119.81,36.77,43,2341,395,890,375,3.4265,85000
-117.6,33.86,23,2949,473,1671,477,5.195,161000
-121.35,38.58,20,2992,378,1105,368,8.6572,320200
-122.14,37.73,38,1723,394,711,353,3.0673,218400
-118.97,35.37,41,2396,602,1781,543,1.8819,58000
-116.98,33.93,33,376,83,267,88,2.1581,68300
-116.79,32.61,19,2652,520,1421,491,3.5227,206100
-117.24,33,16,2512,356,795,353,7.5975,369100
-118.26,33.95,38,1387,346,1240,355,1.6898,95100
-118.8,34.41,45,1610,406,1148,347,2.7,120400
-122.33,37.95,22,2099,569,1135,509,2.1915,120800
-118.02,33.76,25,1759,404,1404,385,3.6289,195800
-118.34,33.87,28,4605,1188,2558,1093,3.6988,266600
-118.29,33.95,31,2839,792,2390,729,2,109800
-119.69,36.46,29,1702,301,914,280,2.8125,79200
-121.3,38.65,26,3192,447,1132,418,4.5278,144300
-117.66,34,5,1387,236,855,270,5.411,201100
-122.04,37.33,22,4011,963,2206,879,4.5721,351200
-118.39,34.03,25,3442,1050,1890,914,3.0574,319400
-120.59,35.11,25,3642,726,1729,673,3.155,205400
-121.38,38.58,38,2968,475,1176,454,5.0497,191700
-121.95,37.24,37,3109,541,1566,544,6.0235,413500
-117.38,33.94,21,2468,380,1164,385,4.0625,136800
-120.43,34.96,24,2739,414,1171,413,4.8155,162900
-117.88,33.74,16,1444,446,2329,441,3.1691,159400
-124.14,40.58,25,1899,357,891,355,2.6987,92500
-122.15,37.74,52,1394,223,545,230,3.95,219000
-121.19,40.23,10,1572,232,247,104,5.8453,193800
-118.28,33.96,34,2074,562,1913,514,1.6156,102100
-117.02,34.9,37,1199,351,782,296,1.6515,61600
-122.38,37.73,20,120,27,55,19,2.625,187500
-118.21,34.13,52,2465,611,1433,570,3.25,214200
-118.42,34.23,33,2478,457,1567,446,5.6629,186700
-119.16,34.28,30,413,98,400,112,4,219200
-115.55,32.98,33,2266,365,952,360,5.4349,143000
-121.49,38.53,40,2966,536,1225,505,3.125,130600
-117.96,33.87,35,1972,367,1152,356,3.7222,187500
-117.3,34.18,19,2526,381,1176,381,5.5136,137100
-118.09,33.9,36,1215,279,862,285,3.7604,158700
-117.66,34.05,14,2644,525,2021,511,3.6467,147500
-118.12,34.19,52,2405,299,970,319,8.7835,444100
-118.63,34.16,33,2896,455,1116,411,6.0192,347700
-121.96,37.51,22,5811,1125,3215,1086,4.4107,223500
-122.72,38.48,23,2296,356,902,334,6.0298,289100
-124.13,40.78,34,2142,420,1056,382,2.1101,86900
-120.15,39.8,19,785,151,366,140,3.0625,82500
-118.36,33.9,41,1355,349,655,329,2.9551,205000
-117.38,34.06,17,3139,569,1612,516,3.3571,112300
-117.01,32.76,34,3415,608,1464,593,4.0549,223700
-118.4,34.06,47,3652,967,1438,887,3.6964,500001
-121.93,37.33,44,2142,358,846,375,5.4273,421000
-120.09,37.02,9,1608,297,1057,295,3.7143,81600
-118.31,33.89,35,2144,423,1192,417,4.1458,231500
-115.5,32.75,13,330,72,822,64,3.4107,142500
-124,40.22,16,2088,535,816,326,1.319,70700
-122.36,37.95,38,1042,289,773,248,2.7714,104700
-117.93,34.01,33,1733,361,1757,375,4.2266,153800
-118.03,33.87,16,2306,393,1368,387,5.93,277600
-122.27,37.83,49,1655,366,754,329,1.375,104900
-122.47,37.78,52,2169,522,1220,505,3.1989,446900
-118.19,34.02,34,1478,369,1735,348,1.8875,136700
-119.68,34.43,49,1785,386,1267,380,3.5208,251200
-118.29,34.01,40,885,312,799,221,1.1667,143800
-118.19,34.03,42,2250,629,2588,609,1.9719,134200
-123.47,39.8,18,2130,545,863,346,2.3571,79200
-117.39,34.07,15,1966,331,1118,323,3.8558,122700
-118.1,33.84,36,1557,270,697,251,4.5417,219600
-116.94,33.77,14,7240,1410,2708,1240,2.4145,137600
-118.46,34.29,24,3668,890,3151,810,3.0526,183300
-122.11,37.69,42,1472,310,768,309,3.4643,160900
-117.09,32.77,31,3062,596,1263,539,3.0875,291500
-117.99,33.86,20,3540,906,2898,876,3.0252,178000
-119.53,37.34,26,4047,702,571,199,2.3482,179500
-118.02,34.14,31,6854,1578,4131,1524,3.5878,222800
-118.05,34.13,23,3264,729,1475,668,3.735,218300
-118.37,34.23,32,1444,317,1177,311,3.6,164600
-121.32,38.59,21,9774,1777,4674,1712,3.6817,136100
-121.83,37.32,26,1125,210,943,214,4.825,181000
-120.75,37.44,27,2295,424,1252,350,3.6182,123200
-119.19,34.23,17,3889,748,2415,739,4.5,234300
-121.62,36.67,31,2697,690,2220,665,2.5329,135200
-117.29,33.19,18,6235,1233,4127,1162,3.0704,151600
-118.37,34.24,40,1283,246,594,236,4.1121,229200
-117.1,32.75,11,2393,726,1905,711,1.3448,91300
-121.56,37.08,17,6725,1051,3439,1027,6.4313,393100
-118.28,33.75,41,1305,381,1384,369,2.45,186800
-121.96,37.41,17,3208,617,2286,602,5.2937,238000
-119.6,36.66,27,1388,296,1056,284,1.6094,55200
-121.97,37.57,21,4342,783,2172,789,4.6146,247600
-118.13,33.84,46,2439,429,944,374,4.2841,312400
-117.11,32.77,48,1502,272,590,265,2.5952,190300
-122.46,37.78,52,3429,773,1584,696,3.7887,500001
-117.97,33.94,36,1870,338,947,324,4.1205,217000
-117.98,33.64,20,1851,495,792,363,3.8187,137500
-119.2,34.26,25,2203,367,1194,377,5.4087,223200
-117.14,32.7,43,1126,289,1132,294,2.1875,87000
-117.82,33.73,24,845,190,482,190,4.7039,225000
-117.99,33.68,14,3305,841,2272,769,3.4899,216700
-118.1,33.82,36,1946,346,871,336,5.2155,254800
-118.36,33.8,34,2629,369,966,375,10.1241,500001
-119.8,36.71,29,1541,291,1007,313,2.0043,53500
-117.64,34.02,10,4887,930,2637,831,4.0611,158000
-118.01,33.92,35,1606,289,829,273,5.273,187600
-123.24,38.7,38,1460,311,569,176,2.7171,131300
-118.19,33.79,29,3497,1096,2994,919,1.8109,137500
-120.67,35.5,15,2752,546,1422,545,3.2813,175000
-117.96,34,33,5462,952,3527,914,4.4038,186700
-122.89,39.11,10,1588,333,585,254,2.2551,71100
-122.02,38.26,27,3440,787,2085,748,2.5896,104700
-121.53,38.58,35,1316,321,732,336,2.1213,79200
-117.87,33.78,19,2813,567,1334,596,4.7208,173500
-118.13,34.1,24,4670,1185,2478,1107,3.1975,252400
-117.02,32.74,12,3301,963,2000,879,1.8594,119200
-118.09,34.15,52,670,141,268,110,3.5568,205000
-122.31,37.54,42,1159,261,465,247,3.1842,352800
-118.31,34,47,1551,362,1329,322,1.9792,116400
-119.71,36.77,11,5112,1384,2487,1243,2.1461,75900
-121.35,38.59,29,1285,193,460,206,5.3243,265700
-121.5,38.34,36,1212,255,569,256,2.0048,72900
-118.48,34.05,48,3623,528,1282,516,9.5221,500001
-117.85,33.92,11,3331,410,1460,416,8.0287,371800
-117.95,33.67,25,1799,233,810,265,8.289,372400
-122.37,37.6,26,15,3,11,3,5.048,350000
-118.06,34.1,38,2438,442,1308,461,3.6995,260100
-118.13,33.79,20,6678,1797,3625,1599,3.7716,242900
-122.33,37.95,46,1543,339,777,322,4.0927,142600
