rating,name,postal_code,city,state,latitude,longitude,review_count,cuisine,WheelchairAccessible,WiFi,BusinessAcceptsCreditCards,Alcohol,NoiseLevel,RestaurantsPriceRange2,RestaurantsAttire,Smoking,RestaurantsReservations,OutdoorSeating,GoodForKids,avg_word_count,wine,chocolate,sum,dim,perfect,sweet,chinese,bread,breakfast,happy,loved,selection,manager,spot,corn,dessert,fantastic,sushi,super,bbq,pastries,crust,brunch,taco,perfectly,dish,asked,wonderful,phoenix,rice,waitress,flavors,mesa,bobby,highly,enjoyed,pho,local,flay,worst,fried,chef,croissant,cool,bakery,horrible,bianco,shop,bacon,cream,absolutely,salsa,spicy,hour,yelp,pittsburgh,enjoy,macarons,prices,italian,feel,friends,list,primanti,ingredients,tea,roasted,light,rude,pork,wings,lobster,ribs,places,chips,roll,terrible,pasta,mexican,cake,yummy,appetizer,ambiance,brisket,friend,cooked,seating,cute,outside,different,flavorful,free,unique,told,salmon,options,lux,town,delivery,huge
1,Village Pub & Poker,89183,Las Vegas,NV,36.0008248,-115.1544012,27,Bakeries,yes,free,yes,full_bar,average,1,casual,outdoor,no,no,no,119.1111111,0,0,0,0,0,4,0,0,6,10,3,1,0,3,0,0,3,0,0,0,0,0,0,2,1,1,3,1,0,0,6,0,0,0,1,0,0,3,0,0,1,0,0,1,0,0,0,2,0,0,2,0,0,9,1,0,2,0,2,2,1,0,1,0,0,0,0,0,0,0,1,0,1,1,13,0,0,0,0,0,1,1,1,0,0,4,1,0,1,2,0,2,0,1,0,0,0,2,0,2
1,Fellini's Ristorante,89104,Las Vegas,NV,36.14813295,-115.1557732,136,Pizza,yes,no,yes,full_bar,average,2,casual,outdoor,yes,no,yes,132.2573529,16,9,1,3,11,7,1,60,1,6,14,5,4,3,0,14,13,0,3,0,0,0,0,0,2,29,7,3,0,0,0,1,0,0,10,12,0,3,0,7,3,11,0,2,1,6,0,0,1,7,10,0,0,4,2,0,6,0,18,70,16,11,3,0,1,0,3,6,0,0,1,5,0,8,0,0,7,46,0,26,9,9,7,0,6,12,2,4,4,11,3,9,0,14,7,5,0,3,0,12
1,Brothers Family Restaurant,85345,Peoria,AZ,33.5818873,-112.2413608,66,Chinese,yes,no,yes,none,average,1,casual,no,no,yes,yes,79.48484848,0,1,0,0,2,0,0,0,39,3,0,1,0,5,0,1,0,0,1,0,0,0,3,0,1,1,3,1,2,1,16,1,0,0,3,2,0,3,0,0,6,0,0,1,1,1,0,0,9,3,2,2,0,0,1,0,2,0,5,0,8,3,1,0,0,3,0,0,0,0,0,0,0,5,0,0,3,0,1,0,1,0,0,0,3,8,0,0,4,0,0,0,0,2,2,0,0,5,2,2
1,Taco Bell,85204,Mesa,AZ,33.40791,-111.77313,5,Fast Food,yes,free,yes,none,average,1,casual,no,no,no,yes,37.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,My Pie Pizza,85281,Tempe,AZ,33.4227968,-111.9345668,28,Burgers,yes,no,yes,none,average,1,casual,outdoor,no,yes,yes,117.8571429,0,2,0,0,3,2,0,0,0,5,0,0,2,3,0,0,1,0,4,1,0,17,0,0,0,0,0,0,1,0,0,1,0,0,2,2,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,3,3,0,0,4,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,2,1,0,3,3,0,9,0,2,0,9,0,0,0,1
1,First Watch,44124,Mayfield Heights,OH,41.52157009,-81.43730748,51,Mexican,yes,free,yes,none,average,1,casual,no,no,no,yes,105.8431373,0,3,0,0,4,1,0,1,40,5,2,1,0,2,0,0,0,0,2,1,0,0,15,0,3,7,5,4,0,0,8,0,0,0,1,4,0,1,0,2,0,0,0,0,0,0,0,0,7,0,2,2,0,2,2,0,2,0,4,2,0,0,1,0,3,2,1,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,1,2,3,0,1,0,4,0,3,1,0,0,10,0,2,0,3
1,Saddle Mountain Brewing Company,85338,Goodyear,AZ,33.45656788,-112.3955378,280,Mexican,yes,free,yes,full_bar,average,2,casual,outdoor,no,yes,yes,85.91071429,7,3,0,0,7,2,0,8,1,34,24,32,8,8,5,8,10,0,16,8,0,0,3,3,8,7,24,8,6,1,33,3,1,0,7,23,0,25,0,1,4,1,0,13,0,6,0,0,12,6,10,7,12,20,7,0,9,0,12,2,15,15,12,0,1,3,2,6,3,4,22,0,0,17,27,0,8,1,0,1,6,10,2,1,7,14,8,4,6,11,5,2,8,15,0,5,0,14,0,5
1,The Original Wineburger,85015,Phoenix,AZ,33.5251298,-112.0992717,104,Sandwiches,yes,no,yes,full_bar,average,1,casual,outdoor,no,no,yes,123.4807692,23,0,0,0,5,14,0,3,0,2,6,10,3,6,4,0,1,0,8,0,0,0,0,0,6,1,12,3,18,0,11,0,0,0,2,3,0,7,0,4,19,1,0,5,0,1,0,1,14,1,4,0,2,1,9,0,2,0,5,0,11,5,5,0,2,2,0,8,1,2,6,0,0,17,2,1,3,0,0,0,1,1,3,0,8,19,0,1,11,5,3,0,4,8,0,0,0,5,0,5
0,Dave & Buster's,89135,Las Vegas,NV,36.1486189,-115.332454,213,Coffee & Tea,yes,free,yes,full_bar,loud,2,casual,no,no,no,yes,152.5821596,3,4,0,0,10,6,0,1,0,42,7,15,59,3,1,6,0,0,24,10,0,0,0,0,4,3,45,4,0,0,28,0,0,0,6,12,0,3,0,15,5,0,0,23,0,22,0,3,11,3,15,1,1,51,4,0,18,0,12,0,12,26,13,0,1,2,0,3,9,1,25,4,21,12,9,2,20,4,0,4,0,17,1,0,19,4,8,1,6,19,1,11,1,63,4,5,0,6,0,11
0,North End Pizza,89149,Las Vegas,NV,36.2777222,-115.2863093,274,Sandwiches,yes,no,yes,beer_and_wine,average,2,casual,outdoor,no,no,yes,77.2189781,1,2,0,0,16,5,0,11,0,4,13,0,16,5,0,4,6,0,13,0,0,74,0,0,6,2,14,2,0,0,0,0,0,0,5,4,0,7,0,8,19,0,0,6,1,9,0,6,3,0,6,0,1,12,22,0,5,0,12,17,12,8,1,0,6,0,1,4,10,0,32,0,0,26,14,1,6,7,0,1,6,0,0,0,11,7,1,1,1,10,2,3,0,20,0,2,0,14,44,19
1,Under Review,85379,Surprise,AZ,33.60823315,-112.3572759,84,Burgers,yes,free,yes,full_bar,average,2,casual,outdoor,yes,yes,yes,94.79761905,1,2,0,0,3,3,0,1,0,13,1,6,5,8,0,2,4,0,2,3,0,1,0,1,1,0,5,4,0,0,10,2,0,0,0,4,0,3,0,4,4,0,0,3,0,5,0,0,10,4,6,1,1,9,2,0,2,0,5,0,10,6,0,0,0,2,0,1,1,0,62,0,3,4,2,0,3,0,0,0,3,3,2,0,9,6,3,2,7,2,0,0,1,6,0,3,0,2,0,1
0,Papa Jimmy's Pizzeria,53527,Cottage Grove,WI,43.0864166,-89.2040296,14,Bars,yes,free,yes,beer_and_wine,loud,2,casual,outdoor,no,yes,yes,95.92857143,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,1,0,0,0,1,0,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,1,0,0,2,7,0,1,0,1,0,0,0,0,1,0,0,0,0,0,4,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,4,0,0,0,1,3,0
0,Einstein Bros Bagels,89134,Las Vegas,NV,36.19187938,-115.3051186,57,Chinese,yes,free,yes,none,average,1,casual,no,no,yes,yes,95.45614035,0,1,0,0,0,1,0,0,12,2,1,2,3,2,0,0,0,0,6,0,0,0,0,0,1,0,5,0,0,0,0,2,0,0,0,0,0,0,0,6,0,0,0,0,0,3,0,2,1,19,1,1,0,1,2,0,2,0,1,0,1,1,0,0,0,1,0,0,6,0,0,0,0,3,0,0,2,0,0,0,2,0,0,0,5,0,4,1,4,5,0,1,0,3,3,1,0,4,0,2
1,Wetzel's Pretzels,85032,Phoenix,AZ,33.62265722,-112.0010598,6,Burgers,yes,free,yes,none,average,1,casual,outdoor,no,no,yes,73,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,CRAFTkitchen,89052,Henderson,NV,35.9941894,-115.0997954,367,Breakfast & Brunch,yes,free,yes,beer_and_wine,average,2,casual,outdoor,no,yes,yes,125.4577657,3,38,0,0,64,57,0,93,164,13,43,4,12,46,2,30,25,0,33,2,55,7,102,1,31,40,48,24,0,3,26,13,1,1,10,30,0,28,0,4,21,27,46,14,18,6,0,3,64,27,22,4,4,13,20,0,14,1,21,9,31,30,4,0,35,12,8,32,1,21,0,1,14,19,11,25,4,0,0,16,23,5,17,0,39,22,25,39,42,25,19,44,12,28,55,29,0,22,0,14
0,Taiwan Food Express,85202,Mesa,AZ,33.4133505,-111.8759922,123,Pizza,yes,no,yes,none,average,1,casual,outdoor,no,no,yes,123.4146341,0,0,8,8,2,10,39,1,0,3,9,5,3,5,1,4,3,0,8,2,0,1,0,0,4,30,8,1,7,53,28,6,4,0,2,6,0,1,0,2,29,1,0,3,0,3,0,6,0,0,3,0,26,2,3,0,4,0,17,0,5,5,0,0,3,42,0,4,1,34,0,0,0,7,0,30,4,0,2,5,2,2,1,0,4,2,0,1,5,12,4,4,0,14,0,1,0,2,0,5
1,Zoup!,15317,Canonsburg,PA,40.27499892,-80.16690111,29,Breakfast & Brunch,yes,free,yes,none,average,2,casual,outdoor,no,no,yes,66.37931034,0,0,0,0,2,0,0,7,0,1,0,3,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,5,0,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,2,0,0,0,1,0,0,0,2
0,Taco Bell,85308,Glendale,AZ,33.63851,-112.22623,14,Bars,yes,no,yes,none,average,1,casual,outdoor,no,yes,yes,104.1428571,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,21,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0
1,YAMA SUSHI HOUSE,85012,Phoenix,AZ,33.507092,-112.074491,103,Sandwiches,yes,free,yes,beer_and_wine,average,2,casual,no,no,no,yes,79.7184466,2,0,0,0,12,7,0,0,0,31,8,4,5,21,0,1,8,137,17,0,0,0,0,0,0,2,5,5,14,10,8,2,0,0,5,4,0,1,0,0,6,7,0,2,0,1,0,1,1,3,4,0,26,24,5,0,2,0,12,0,6,5,0,0,3,3,0,5,0,5,0,6,0,10,0,66,0,0,0,0,7,5,2,0,5,0,0,3,0,7,5,2,2,3,19,2,0,9,0,1
1,First Watch,85018,Phoenix,AZ,33.50915835,-112.0121461,91,Breakfast & Brunch,yes,free,yes,none,average,2,casual,outdoor,no,yes,yes,89.94505495,0,0,0,0,8,0,0,4,60,6,6,3,6,2,0,0,8,0,3,0,0,0,10,0,2,1,10,4,6,1,7,1,0,0,10,5,0,9,0,2,2,1,0,0,1,1,0,0,17,2,3,0,1,0,1,0,2,0,3,0,6,3,3,0,4,0,1,1,1,0,0,0,0,5,0,0,1,0,1,2,3,1,2,0,3,2,4,3,2,4,1,2,1,8,3,12,0,4,0,3
1,Juan's Authentic Mexican Food,85014,Phoenix,AZ,33.4804917,-112.0490225,156,Pizza,yes,no,yes,beer_and_wine,average,1,casual,outdoor,no,no,yes,88.09615385,2,1,0,0,5,0,0,1,1,5,4,2,5,17,7,1,8,0,15,0,0,0,0,26,1,5,12,3,24,28,12,0,0,0,6,3,0,1,0,2,4,0,0,4,0,1,0,3,0,2,4,79,6,5,4,0,4,0,32,0,14,7,1,0,1,0,0,2,1,7,0,0,0,9,60,0,3,0,126,0,1,0,1,0,5,5,3,0,4,6,8,4,0,6,0,3,0,5,0,8
0,Luigi's,53711,Madison,WI,43.0548519,-89.450401,80,Sandwiches,yes,free,yes,beer_and_wine,average,2,casual,outdoor,no,yes,yes,121,13,5,1,0,8,1,0,11,1,2,2,2,2,1,1,5,4,0,7,0,0,38,0,0,3,8,8,5,0,0,2,1,0,0,2,7,0,1,0,0,0,2,0,4,0,1,0,0,8,4,3,0,2,12,2,0,4,0,4,12,5,5,1,0,10,2,4,3,0,1,0,0,0,5,0,0,3,24,0,5,3,9,0,0,4,8,3,3,5,5,5,5,2,5,0,6,0,3,13,6
1,China Magic Noodle House,85224,Chandler,AZ,33.336076,-111.8743599,426,Chinese,yes,no,yes,none,average,1,casual,no,yes,no,yes,110.2276995,2,0,2,3,18,18,118,0,1,22,23,3,1,13,10,2,16,0,31,0,0,0,0,0,17,136,17,15,34,16,8,18,4,0,12,33,12,3,0,8,164,27,0,17,1,6,0,10,1,9,15,0,97,6,8,0,13,0,56,0,18,19,8,0,9,23,1,11,6,73,0,0,1,31,0,5,7,9,0,0,25,26,9,2,24,20,4,1,5,58,31,2,5,13,0,12,0,15,1,70
0,Gino's Pizza,85042,Phoenix,AZ,33.3878505,-112.0735848,21,Coffee & Tea,yes,no,yes,none,quiet,1,casual,outdoor,no,no,yes,121.4285714,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,1,0,0,0,0,9,0,1,0,0,2,0,12,0,0,0,0,0,0,0,0,4,0,5,0,0,0,1,0,2,0,0,2,0,2,0,0,0,0,0,2,0,0,0,1,1,0,0,3,0,0,0,2,0,12,0,0,8,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,2,1
1,Mr Jim's Pizza,89166,Las Vegas,NV,36.29161513,-115.31602,83,Italian,yes,no,yes,none,quiet,2,casual,outdoor,no,no,yes,121.1084337,0,0,0,0,6,1,0,1,0,5,5,0,20,1,0,1,2,0,6,1,0,56,0,0,0,0,3,3,0,0,0,0,0,0,3,6,0,9,0,4,0,0,0,1,0,4,0,4,3,1,2,0,0,4,5,0,7,0,8,3,4,2,1,0,2,0,0,3,3,0,17,0,0,10,1,1,0,0,0,0,1,0,0,0,5,1,0,0,0,3,1,4,2,7,0,3,0,6,25,0
1,Crush,89109,Las Vegas,NV,36.10289615,-115.1701994,185,Pizza,yes,no,yes,full_bar,average,3,casual,no,yes,no,no,136.8648649,34,23,0,6,34,14,0,13,0,27,18,3,13,11,1,41,18,1,25,0,0,9,0,0,10,38,26,15,0,3,30,17,0,0,7,18,0,1,0,1,8,11,0,15,0,3,0,0,6,14,17,0,1,25,3,0,10,0,18,3,14,18,9,0,1,2,10,14,4,1,0,23,5,5,4,1,4,5,0,9,10,18,21,0,16,25,10,0,6,10,6,10,6,18,18,18,0,7,2,9
0,Ajo Al's Mexican Cafe,85308,Glendale,AZ,33.6390105,-112.2197552,103,Breakfast & Brunch,yes,free,yes,full_bar,average,2,casual,outdoor,yes,yes,yes,99.66019417,0,1,1,0,2,1,0,0,1,11,5,1,8,1,4,1,1,0,5,0,0,1,1,9,3,5,12,2,3,18,11,0,0,0,3,8,0,2,0,3,6,0,0,5,0,5,0,0,0,12,3,44,4,5,2,0,2,0,4,0,3,4,1,0,0,1,1,1,4,0,0,0,0,4,36,0,2,0,46,1,4,2,1,0,7,7,5,1,1,3,1,4,1,10,0,1,0,6,0,5
1,Port of Subs,85248,Chandler,AZ,33.2612195,-111.8848787,20,Fast Food,yes,free,yes,none,quiet,1,casual,no,no,no,yes,85.1,0,0,0,0,0,2,0,9,0,0,0,0,2,2,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,1,0,0,0,1,0,0,0,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,6,1
0,QDOBA Mexican Eats,15205,Pittsburgh,PA,40.43912684,-80.146873,8,Mexican,yes,free,yes,none,loud,1,casual,no,no,yes,yes,71.25,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,4,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,Manhattan Pizza IV,89129,Las Vegas,NV,36.232204,-115.2509515,42,Bars,yes,no,yes,none,quiet,2,casual,outdoor,no,no,yes,99.47619048,0,0,0,0,4,0,0,1,2,2,1,0,2,2,0,1,1,0,4,1,0,4,0,0,1,1,6,0,0,0,0,0,0,0,1,3,0,1,0,2,3,0,0,3,0,0,0,6,1,0,0,0,1,3,2,0,2,0,4,2,1,0,0,0,2,0,0,0,2,0,23,0,0,2,0,0,3,1,0,1,2,0,0,0,1,2,0,0,0,3,1,7,0,4,0,0,0,0,6,4
1,George's Chicken and Fish,53590,Sun Prairie,WI,43.1958805,-89.2109252,4,Burgers,yes,free,yes,none,quiet,1,casual,outdoor,no,no,yes,127.5,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1,Osteria Papavero,53703,Madison,WI,43.07413865,-89.37934544,129,Fast Food,yes,no,yes,full_bar,average,2,casual,no,no,yes,no,154.2015504,47,4,1,3,13,12,0,53,1,5,10,14,2,12,3,36,27,1,6,0,0,1,0,0,11,38,6,18,0,0,30,12,0,0,6,12,0,4,0,3,10,5,0,4,0,1,2,0,11,18,15,0,9,2,3,0,9,0,11,74,12,8,15,0,10,0,9,9,1,14,0,3,1,10,0,0,1,44,0,6,3,24,7,0,4,10,3,2,8,16,8,1,7,6,1,8,0,16,0,11
0,JD Campbell's,85383,Peoria,AZ,33.6963062,-112.25507,106,Burgers,yes,free,yes,full_bar,average,2,casual,outdoor,no,yes,yes,87.9245283,0,1,0,0,3,7,0,3,68,11,4,2,7,7,13,0,4,0,1,2,0,0,5,1,2,1,5,3,0,0,12,0,0,0,3,6,0,10,0,2,16,2,0,2,0,5,0,0,6,2,3,1,1,9,3,0,5,0,8,0,8,7,0,0,0,1,0,1,0,8,4,0,9,5,2,0,2,2,0,4,4,1,2,2,3,5,6,0,8,9,1,3,7,6,1,3,0,3,0,6
